Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,6192.379999999999,74308.56,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),ThanhTD_VPN_USE1,VPN Connection,0,73,876.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (2)"
My Estimate,US East (N. Virginia),ThanhTD_EC2WebServer,Amazon EC2 ,0,280.32,3363.84,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m5.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),ThanhTD_MySQL,Amazon RDS for MySQL,0,912.1,10945.20,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (1), Instance type (db.m4.2xlarge), Utilization (On-Demand only) (80 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),ThanhTD_S3,S3 Standard,0,1177.6,14131.20,USD,,S3 Standard storage (50 TB per month)
My Estimate,US East (N. Virginia),ThanhTD_S3,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,480.08,5760.96,USD,,"Data transfer out to internet (4 TB per month), Data transfer out to origin (4 TB per month), Number of requests (HTTPS) (50 million per month)"
My Estimate,US East (N. Virginia),ThanhTD_ApplicationLB,Application Load Balancer,0,1038.43,12461.16,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),ThanhTD_WebLB,Application Load Balancer,0,1038.43,12461.16,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),ThanhTD_EC2AppServer,Amazon EC2 ,0,280.32,3363.84,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m5.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),ThanhTD_MySQLRR,Amazon RDS for MySQL,0,912.1,10945.20,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (1), Instance type (db.m4.2xlarge), Utilization (On-Demand only) (80 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
