Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,18641.14,223693.68,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),ThanhTD_VPN_USE1,VPN Connection,0,73,876.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (2)"
My Estimate,US East (N. Virginia),ThanhTD_EC2WebServer,Amazon EC2 ,0,3363.84,40366.08,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m5.12xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),ThanhTD_MySQL,Amazon RDS for MySQL,0,3398.2599999999998,40779.12,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (5 TB), Quantity (1), Instance type (db.m4.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),ThanhTD_S3,S3 Standard,0,2304,27648.00,USD,,S3 Standard storage (100 TB per month)
My Estimate,US East (N. Virginia),ThanhTD_S3,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,480.08,5760.96,USD,,"Data transfer out to internet (4 TB per month), Data transfer out to origin (4 TB per month), Number of requests (HTTPS) (50 million per month)"
My Estimate,US East (N. Virginia),ThanhTD_ApplicationLB,Application Load Balancer,0,1038.43,12461.16,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),ThanhTD_WebLB,Application Load Balancer,0,1038.43,12461.16,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),ThanhTD_EC2AppServer,Amazon EC2 ,0,3363.84,40366.08,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m5.12xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),ThanhTD_MySQLRR,Amazon RDS for MySQL,0,3398.2599999999998,40779.12,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (5 TB), Quantity (1), Instance type (db.m4.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),ThanhTD_Route53,Amazon Route 53,0,183,2196.00,USD,,"Hosted Zones (1), Number of Elastic Network Interfaces (2)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
